,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
6.89_484.1208n,484.1208288,483.1135524,1,6.886133333,0.404883333,1,7.53E-08,1.18E-06,4.578428627,CK_L,HI_L,100 - 21.7 - 2.34,261802.6645,26.98,184550.705,375184.6243,255923.8395,201876.622,244501.8185,308778.3776,33188.05764,50741.3649,63583.70717,41084.16379,84355.0396,48421.61277,151079.4353,420918.7493,209636.9935,155104.3859,279238.918,233988.04,28987.93914,32389.78765,56471.11592,4049.428467,40174.91527,46955.13414,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.60_660.1454n,660.1454184,659.138142,1,9.600133333,0.230033333,0,0.000626654,0.001926389,2.952103053,CK_L,HI_L,100 - 18.5 - 16.5 - 1.43,377123.6181,39.32,449100.3424,216330.1334,423330.8854,503906.9481,165955.3994,504117.9997,58014.51465,61018.76323,154086.4053,136695.4598,285240.3259,105790.2217,367648.6964,242700.2688,346766.4999,387158.1414,189533.1758,382013.7395,50672.48099,38950.1699,136850.0146,13473.28107,135848.5039,102586.2991,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.63_474.1442n,474.1442156,947.2803594,1,9.62905,0.545216667,0,0.000118041,0.000479199,3.403637659,CK_L,HI_L,100 - 42.8 - 16.7 - 1.28,471365.7538,24.02,510865.3937,565447.477,247415.2196,483090.5813,523284.6555,498091.1955,188804.2206,214179.7016,163167.234,39060.31105,82274.26259,169935.9975,418211.6518,634374.197,202667.2579,371164.661,597629.2607,377446.7095,164910.0804,136717.5492,144915.045,3849.949005,39183.92481,164789.3803,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.66_462.1156n,462.1155586,461.1082822,1,9.6582,1.354416667,72,3.69E-06,2.93E-05,2.468673481,HI_L,CK_L,100 - 22.7 - 2.84,3625865.711,22.97,1478537.004,2169576.148,1104645.048,1129861.135,1730110.617,1199773.778,2910209.869,3138442.96,3518970.531,3718398.307,3183155.905,4647355.899,1210380.288,2434042.388,904856.9577,868086.7344,1975912.571,909172.1933,2541907.92,2003365.523,3125331.97,366501.0205,1516009.232,4506607.838,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.83_418.0896n,418.0896033,417.0823269,1,6.82905,1.24265,17,1.33E-07,1.89E-06,7.819311463,HI_L,CK_L,100 - 22 - 3.68 - 0.0102,15535552.63,32.47,2014259.391,1591634.843,1464232.239,3064449.799,1355908.898,2430425.796,19728045.72,21304044.06,13905054.49,4779787.566,13091863.59,18462798.78,1648940.714,1785651.395,1199408.562,2354455.903,1548546.902,1841743.496,17231360.59,13599032.36,12349609.34,471116.0226,6235128.487,17903641.44,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.66_350.1936n,350.1936205,349.186344,1,6.655783333,0.607216667,10,3.71E-08,6.43E-07,6.856600161,HI_L,CK_L,100 - 12.7,169233.3188,24.57,18647.89322,34451.22991,13708.3328,21789.74703,37418.7161,22074.95528,187667.4385,173693.0087,196535.0781,68650.96547,185999.9238,208057.2989,15265.79471,38650.75396,11229.01907,16741.34083,42734.90423,16728.09981,163917.164,110873.6369,174550.3002,6766.528711,88584.2887,201756.1544,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.86_720.1893n,720.1893412,719.1820647,1,9.859966667,0.606,0,4.54E-08,7.60E-07,92.30276403,CK_L,HI_L,100 - 35.3 - 8.57 - 1.48,2489070.576,35.28,3763385.484,3228823.39,1534495.869,1990358.486,1779753.032,2637607.193,2803.927528,9026.198902,2040.302421,9080.817027,215337.9392,6818.058171,3080834.363,3622409.382,1256964.186,1529217.835,2032607.832,1998742.731,2449.076153,5761.70283,1812.070413,895.0436271,102556.8063,6611.569043,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.95_563.1755n,563.1754797,1125.343006,1,9.946266667,0.26065,0,0.001971237,0.004887589,2.73820361,CK_L,HI_L,100 - 37.8 - 9.85 - 0.233,301249.4087,24.9,287999.287,264352.085,273984.8834,363587.7352,204273.6652,413298.7967,164049.7226,139469.452,120084.907,18387.89272,48168.34909,80093.74012,235765.9356,296575.9836,224431.4845,279349.0988,233295.4315,313192.1871,143288.3908,89027.67873,106651.9869,1812.388263,22940.64887,77668.05143,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.54_372.1051n,372.1051203,371.0978438,1,6.5397,2.24145,3,2.18E-05,0.000112385,3.9116531,HI_L,CK_L,100 - 17.2 - 0.917,2922585.512,27.5,418615.662,535742.6758,584397.0543,590234.4522,1821957.775,531943.0221,3816872.095,2714005.16,3378748.984,2936418.756,3013533.052,3529785.845,342692.9082,601048.4503,478701.9518,453484.6649,2080808.727,403099.1616,3333827.402,1732433.705,3000795.864,289425.8178,1435224.684,3422884.088,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
6.31_690.1999n,690.199885,735.2139162,1,6.30695,0.527133333,0,2.54E-10,6.30E-09,50.93597434,HI_L,CK_L,100 - 35.8 - 11.2 - 2.36 - 0.445,1479803.875,25.63,21120.00834,34189.48081,25215.1208,24897.26629,27451.67757,41439.85359,1835137.885,1482947.54,2059843.798,571962.2882,1466564.053,1658049.961,17289.55158,38357.09827,20654.66869,19128.88754,31351.81894,31402.55544,1602891.796,946611.4283,1829425.856,56375.01553,698465.5197,1607834.887,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
10.49_548.1343n,548.1342865,547.1270101,1,10.49195,0.57835,0,2.32E-06,1.98E-05,3.763438822,HI_L,CK_L,100 - 31.1 - 6.09 - 1.46,313061.8025,17.48,97990.34254,89491.25212,75901.99768,92770.77969,57700.89979,85254.95804,354786.5104,208965.5661,353453.0527,129917.6006,270309.1965,404252.6277,80218.20135,100400.0257,62174.22585,71276.97441,65898.638,64605.04356,309886.4622,133389.2048,313915.1396,12805.22668,128737.407,392009.5856,x,x,x,x,,,"M-H, 2M-H",,,,,,,
10.81_763.3658n,763.3657803,762.3585039,1,10.81251667,0.402233333,0,4.30E-06,3.31E-05,5.502502246,CK_L,HI_L,100 - 40.8 - 34.7 - 12.5 - 2.59 - 0.0784,5847349.796,21.04,5675879.439,6507461.046,5613568.392,5426279.993,7782136.507,4078773.397,905649.0178,984702.1454,1167699.115,209182.6749,1451955.903,892976.8429,4646466.456,7300705.272,4598288.315,4169080.194,8887767.754,3090838.809,791034.5008,628565.9334,1037078.129,20617.92673,691508.2447,865932.4843,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
6.10_526.1445n,526.144519,525.1372425,1,6.099266667,0.294383333,0,9.41E-05,0.000395884,5.32732626,CK_L,HI_L,100 - 26.8 - 22.5 - 3.73,246994.7311,24.28,260339.836,255109.709,218831.4014,257086.0748,153544.0297,337057.3357,11706.20961,36081.30092,17555.53222,146510.4401,92461.91517,15446.3251,213122.9756,286206.9837,179253.1605,197522.5134,175358.486,255417.4485,10224.72889,23031.81393,15591.73787,14440.68693,44035.8943,14978.52354,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.24_457.1157n,457.1157068,913.2238784,1,7.235166667,1.895616667,0,7.12E-09,1.47E-07,131.9859537,CK_L,HI_L,100 - 24.3 - 3.74 - 0.122,3250938.274,41.06,3428443.137,1932149.942,3403080.762,4627627.805,1453237.384,4661090.611,9000.184302,17164.08094,13714.51583,2679.568091,151970.0911,10144.22903,2806639.254,2167674.485,2787593.453,3555465.522,1659703.136,3532110.846,7861.16493,10956.36544,12180.38469,264.1095329,72377.24698,9837.00475,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.40_382.1258n,382.12576,763.2438293,1,9.401366667,0.487816667,0,0.000346437,0.001200574,112.1537794,CK_L,HI_L,100 - 28.3 - 1.49,335082.3548,34.66,343657.7023,175544.2169,382717.5613,524154.7207,303137.3878,281282.5398,0,0,0,5229.062146,7930.107115,0,281329.7928,196942.6449,313498.5747,402714.7636,346205.0168,213152.0695,0,0,0,515.3984201,3776.791321,0,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.35_479.1287n,479.128688,957.2497944,1,7.353216667,0.750283333,0,2.73E-09,6.05E-08,32.91718321,CK_L,HI_L,100 - 33.2 - 14.4 - 0.871,2745600.104,26.83,2458266.361,2298093.664,2828583.415,3881525.954,1791076.299,3216054.932,48572.0292,36054.91257,98362.50894,72091.77302,238097.4659,95645.25589,2012419.804,2578225.887,2317000.73,2982225.944,2045539.829,2437082.532,42424.99039,23014.96943,87359.49651,7105.669216,113396.2543,92748.57989,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.35_456.2353n,456.2353008,455.2280244,1,7.353216667,1.040083333,9,0.013272367,0.023469,18.62206976,CK_L,HI_L,100 - 20.6,422096.2292,18.8,361846.6903,415046.3431,376957.7258,371045.4541,573789.2015,433891.9606,11354.01788,19447.09247,12476.73444,0,41529.07106,24581.79834,296219.9122,465639.518,308780.4735,285078.9594,655309.1376,328797.4055,9917.108825,12413.68254,11081.06382,0,19778.62756,23837.3233,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
8.32_772.2415n,772.2415301,771.2342536,1,8.324783333,0.67905,1,1.24E-06,1.15E-05,4.06234369,CK_L,HI_L,100 - 36.8 - 17.5 - 5.17 - 0.684,5170656.919,21.87,4339927.642,4779189.301,5132402.361,5055461.677,4343688.291,7373272.243,1038696.655,1045503.506,1206251.004,525850.9356,1524247.243,943840.3236,3552811.23,5361761.258,4204146.838,3884175.747,4960808.987,5587365.068,907244.2785,667377.3281,1071317.533,51830.08613,725937.7049,915255.5329,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
