,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
9.93_514.1661n,490.1669155,513.1561361,1,6.5435,0.53175,49,1.30E-08,1.39E-07,3.725137812,CK_L,HI_L,100 - 22.7 - 2.95,1228589.344,11.93,280122.1161,400792.9509,223339.3801,404357.3044,312404.1754,280346.811,1355838.619,1283355.457,1083429.638,1220905.262,1031471.225,1396535.862,265775.0431,303968.2353,212535.9353,45531.55762,239902.027,273965.4461,1191403.332,1464335.327,988741.0259,1050271.774,1118038.051,1197474.56,x,x,x,x,,,"M+NH4, M+Na, 2M+H",,,,,,,
9.90_978.2965n,872.2912254,895.2798509,1,9.683,0.3008,0,0.00043832,0.000910142,104.895906,CK_L,HI_L,100 - 35.6 - 4.5,923438.6362,22.76,9737.112922,0,0,17057.73448,0,0,929040.7216,550874.2337,961488.4191,1189479.79,1017531.482,892217.1716,9238.405172,0,0,1920.739929,0,0,816367.225,628558.9833,877457.1162,1023238.32,1102928.406,765041.1236,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.90_817.2515m/z,772.2393399,795.2284729,1,8.738783333,0.394016667,0,6.05E-07,3.67E-06,4.891985523,CK_L,HI_L,100 - 35.2 - 7.93 - 0.734,3677550.229,26.91,521429.784,573390.8962,686629.252,1157014.635,828685.2144,361879.9478,3603778.476,2674030.965,3787148.604,4335359.684,2530254.489,5134729.156,494723.6056,434869.4717,653415.3994,130282.4951,636365.5748,353642.6934,3166714.403,3051125.069,3456162.786,3729450.638,2742607.576,4402828.244,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.87_579.1330m/z,306.2180154,329.2074978,1,14.03853333,1.223233333,11,1.14E-06,6.17E-06,2.695047384,HI_L,CK_L,100 - 19.3 - 0.11,1451635.424,13.81,1328753.166,1135379.598,1679263.089,1231113.332,2456790.12,1280828.116,563343.815,574315.0447,597025.9209,604044.3093,470157.6848,422897.7916,1260698.137,861091.3239,1598033.231,138626.1779,1886623.087,1251673.4,495021.818,655305.4372,544847.5847,519623.1913,509615.9432,362618.219,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.87_523.1429m/z,514.1303285,537.11963,1,7.630383333,0.3595,0,9.92E-07,5.50E-06,6.868189297,CK_L,HI_L,100 - 23 - 1.48,1740450.124,12.32,113755.0069,184651.9584,157449.2644,767982.6931,331575.9937,135114.4731,1565221.114,1986076.27,1644606.355,1540294.581,1674315.611,2032186.812,107928.7929,140043.2063,149833.0776,86476.60834,254624.4873,132038.944,1375392.045,2266154.423,1500872.523,1325023.303,1814833.527,1742520.242,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.85_859.1655m/z,727.3882768,728.3955532,1,11.07378333,0.493783333,0,6.54E-08,5.80E-07,4.842066902,CK_L,HI_L,100 - 41.6 - 10 - 1.72 - 0.194,90627154.05,27.14,16533047.89,18493199.24,20997200.24,9276611.977,20323468.4,15325080.61,78043408.72,111034818,72537038.37,67560050.28,140222975.9,74364632.96,15686271.32,14025558.89,19981516.87,1044567.733,15606837.7,14976245.07,68578351.34,126693041.8,66197511.32,58117870.49,151991271.1,63764747.16,x,x,x,x,,,"M+H, M+Na, 2M+H",,,,,,,
9.85_610.1514n,414.2024525,437.1916217,1,12.56243333,0.822516667,6,3.49E-05,0.000103934,3.236949642,CK_L,HI_L,100 - 24.3 - 1.8,1677478.777,23.48,393266.2755,877703.9991,261720.0949,840229.9058,857161.4965,345641.4607,2284329.759,1315714.508,1786987.766,1221695.22,1889210.188,1566935.22,373124.2744,665665.7386,249060.0857,94611.8098,658233.1371,337773.8331,2007287.628,1501257.679,1630810.211,1050951.328,2047763.257,1343585.306,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.85_464.0941n,978.2964869,979.3037633,1,9.902433333,0.697783333,0,3.47E-08,3.35E-07,15.70903403,CK_L,HI_L,100 - 46.7 - 15 - 2.38 - 0.0841,4162493.679,45.41,314872.3682,306672.8051,153484.986,645480.3585,223963.0307,274097.2204,6908142.367,4041176.183,2499038.144,4192804.215,1789196.624,5544604.543,298745.4842,232585.9054,146060.5605,72682.56519,171986.1297,267858.1112,6070327.041,4611066.261,2280629.448,3606818.694,1939355.996,4754280.264,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.85_418.0882n,858.2393312,881.2286109,1,9.103766667,0.5025,0,9.05E-06,3.51E-05,4.931230902,CK_L,HI_L,100 - 37.9 - 9.41 - 0.637,4793671.36,39,615516.461,844602.829,994194.0398,680047.3607,999060.2991,443404.6616,4450750.212,2908569.858,4715378.58,7156713.421,2738557.494,6792058.597,583991.4256,640561.2445,946102.5637,76574.88873,767200.3439,433311.7095,3910965.919,3318738.835,4303268.15,6156492.513,2968392.531,5823923.039,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.85_401.0852m/z,358.0668955,359.0741719,1,11.87976667,0.3116,11,6.55E-14,1.34E-12,13.60213508,HI_L,CK_L,100 - 15.7,1050107.011,12.66,1114116.678,1098909.062,1004958.401,1167961.168,1092208.132,1202381.93,72411.2353,64634.5225,66053.05352,119779.4731,69525.53714,70805.96339,1057054.731,833431.4454,956346.2279,131515.0998,838730.6107,1175012.838,63629.2445,73749.33744,60280.20796,103039.1167,75360.50847,60713.32801,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.85_383.0748m/z,234.1223055,235.1295819,1,11.87976667,0.3683,0,2.80E-07,1.95E-06,18.96894304,CK_L,HI_L,100 - 11.8,655225.0753,52.87,19955.07994,42648.31753,21742.18798,133668.2849,23254.65165,20340.23579,810702.0618,219306.2323,830097.4699,1127454.311,291648.5935,652141.783,18933.03644,32345.21412,20690.46782,15051.3547,17857.75769,19877.24331,712380.6063,250232.9824,757549.3554,969881.5106,316125.3721,559185.9228,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.85_348.1405n,372.119726,373.1270024,1,11.96485,4.62245,41,3.77E-07,2.50E-06,2.880865714,HI_L,CK_L,100 - 22.2,275455742.3,17.8,356294543.2,283109006.2,287690958.1,189247465,241262447.7,330952569.5,96868046.57,87827265.16,89487406.28,135988972.4,54207965.96,109314024,338046131,214714716.9,273774677.9,21309697.55,185270731.9,323419296.3,85119948.5,100212740.2,81666466.17,116983179.4,58757401.17,93732474.99,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.85_297.0595m/z,256.0597692,279.0489899,1,9.846683333,0.8667,1,1.07E-08,1.17E-07,9.06165893,HI_L,CK_L,100 - 12.8 - 0.236,1800393.988,21.28,1825148.371,2375551.597,1417230.653,1540894.437,2240650.129,1979459.07,255728.6113,118513.657,166338.1064,362678.8596,79179.12093,209657.2654,1731669.365,1801658.999,1348675.913,173508.2391,1720644.441,1934401.841,224714.0001,135226.553,151800.6377,311990.9311,85824.27492,179772.8569,x,x,x,x,,,"M+Na, 2M+H",,,,,,,
9.85_256.0598n,464.0941198,465.1013962,1,9.846683333,0.333383333,57,1.19E-06,6.39E-06,4.332485344,HI_L,CK_L,100 - 20.6 - 1.65,909965.49,28.84,666969.5422,459989.8719,858732.1657,1192289.441,1033973.744,1196506.554,289360.4411,203465.6769,231224.7447,209088.7959,103373.0526,223686.1139,632809.2236,348864.1935,817193.2953,134254.519,794011.1448,1169271.199,254266.9819,232158.5785,211016.3718,179866.5855,112048.6965,191802.0425,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.85_245.1012m/z,348.1405264,371.1304063,1,9.846683333,0.777283333,0,8.14E-10,1.09E-08,38.33682764,CK_L,HI_L,100 - 15.7 - 2.87,8843351.773,44.69,132347.5778,245899.8818,164942.6147,497396.0497,115642.0907,269199.5504,9999796.334,3286071.106,11669946.67,9078419.663,5214938.421,13810938.44,125569.1042,186494.68,156963.9572,56007.9332,88804.10101,263071.9239,8787027.085,3749475.628,10650027.13,7809621.455,5652605.176,11842336.38,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.77_959.2626m/z,610.1514435,611.1587199,1,9.846683333,0.333383333,109,2.57E-05,8.03E-05,2.572175809,HI_L,CK_L,100 - 28.9 - 5.96 - 0.503 - 0.0777,6638615.863,26.66,4572824.848,4093649.261,6409840.937,8568127.142,8303140.982,7063713.867,3319624.768,2245466.128,2982381.592,2882312.5,1282763.439,2773055.256,4338617.521,3104693.68,6099782.035,964790.7196,6376164.304,6902926.82,2917022.685,2562123.657,2721730.08,2479481.052,1390420.11,2377785.786,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.74_343.2456n,373.0904669,391.127482,1,11.87976667,0.424,0,2.03E-14,4.41E-13,24.33889972,HI_L,CK_L,100 - 9.8,3100558.351,17.88,3792216.544,3123766.544,3293176.666,2100772.557,2950682.822,3856738.457,109471.5527,146765.5433,101015.2885,173799.04,122972.3777,110322.5864,3597989.796,2369118.023,3133878.058,236551.7964,2265894.139,3768949.852,96194.90905,167462.5442,92186.84487,149508.9191,133292.9063,94597.27763,x,x,x,x,,,"M+H, M+NH4",,,,,,,
9.74_250.1792m/z,343.2455981,344.2528745,1,9.737966667,0.6108,12,2.38E-07,1.71E-06,22.17279888,HI_L,CK_L,100 - 14.6 - 6.94,591194.7253,44.36,829005.4439,596847.6764,632914.0951,170139.5347,584826.4943,772604.5899,15107.80479,52945.06284,12842.53696,18160.32744,11715.65056,49206.99323,786546.0986,452659.4954,602298.5695,19158.10087,449101.1082,755018.2589,13275.53937,60411.42031,11720.13643,15622.24353,12698.89338,42193.06082,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.71_355.1714m/z,418.0882497,441.0776971,1,9.846683333,0.3295,0,6.10E-09,7.03E-08,15.26315431,HI_L,CK_L,100 - 19.9 - 3.01,3903727.418,39.45,3256076.957,5063766.85,3012275.689,7480939.489,4991974.28,3209957.424,318503.4183,150226.1728,232004.2363,499224.0897,101777.84,232833.3128,3089309.783,3840447.467,2866564.914,842370.9025,3833446.677,3136891.105,279875.5164,171411.1946,211727.738,429452.6257,110319.6047,199645.4058,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.68_872.2912n,344.1244022,345.1316786,1,11.99253333,0.195916667,22,0.002589585,0.004011812,22.76901695,HI_L,CK_L,100 - 14.6,489984.5149,15.87,601725.1488,449422.607,461839.3425,360306.4105,574261.0823,504856.7934,33630.43563,0,14059.51504,40516.71378,3926.714535,36985.37462,570906.4659,340849.7989,439499.1003,40571.32618,440987.6963,493365.0436,29551.75675,0,12830.75415,34854.10556,4256.266347,31713.50368,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.68_784.2028n,342.0720222,343.0792987,1,11.99253333,0.4822,19,8.89E-09,9.89E-08,3.007222807,HI_L,CK_L,100 - 13.3,1590074.267,9.87,1785895.834,1694882.32,1626282.605,1779487.173,1457931.513,1683195.149,560575.8854,445502.2179,497415.5001,774383.3356,341735.234,552898.2178,1694427.234,1285427.767,1547615.537,200374.327,1119577.626,1644881.596,492589.5812,508327.3168,453942.8261,666155.6677,370415.5632,474088.47,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.66_915.2360m/z,387.105827,388.1131034,1,12.41906667,0.400783333,0,2.58E-12,4.41E-11,6.977253572,HI_L,CK_L,100,3460600.142,17.08,3472332.906,3673237.363,3327536.952,5091659.827,3281033.056,3451855.804,468083.2827,493594.9688,487723.9006,636148.1367,373748.8868,516599.6705,3294489.705,2785846.099,3166576.257,573332.546,2519577.338,3373283.298,411314.4254,563202.1481,445098.2443,547240.1939,405115.9805,442963.8937,x,x,x,x,,,"M+H, M+Na",,,,,,,
