,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
6.54_490.1669n,490.1669155,513.1561361,1,6.5435,0.53175,49,2.06E-09,1.78E-08,3.643179626,CK_V,HI_V,100 - 22.7 - 2.95,1309104.783,10.07,1436467.711,1401171.001,1266426.709,1330971.153,1068070.702,1351521.419,317175.1343,348425.7808,337311.9446,397480.5125,305671.4377,334641.4436,1180855.159,1432318.755,708594.4267,1002583.829,1083870.088,1119791.751,282405.2633,278012.6518,181879.2371,227406.1783,266117.1808,269306.5329,x,x,x,x,,,"M+NH4, M+Na, 2M+H",,,,,,,
9.90_978.2965n,978.2964869,979.3037633,1,9.902433333,0.697783333,0,3.53E-08,2.21E-07,14.60416341,CK_V,HI_V,100 - 46.7 - 15 - 2.38 - 0.0841,2555286.73,37.2,4576363.653,2658690.911,888217.0488,1975509.496,1910569.049,3322370.221,85196.51326,215576.1353,202443.2562,292089.5796,204374.9396,155453.5651,3762021.65,2717793.083,496977.5558,1488096.771,1938831.053,2752722.017,75856.9672,172010.5007,109157.7857,167110.0165,177928.5731,125103.0362,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
13.04_410.0962n,410.0961801,411.1034565,1,13.04471667,2.550983333,0,2.60E-12,3.67E-11,6.947860245,HI_V,CK_V,100 - 21.2 - 2.79,64463570.48,14.8,9693697.987,8774288.763,11895460.39,9894936.799,6327263.713,9083494.966,65234354.5,60350994.4,80589599.16,58520954.74,61002044.08,65303310.61,7968750.838,8969339.463,6655779.504,7453582.746,6420859.468,7526053.667,58083131.58,48154703,43454063.95,33480953.78,53108305.16,52553586.84,x,x,x,x,,,"M+H, M+Na, 2M+H",,,,,,,
6.41_352.0992n,352.0991776,375.0885853,1,6.40655,0.617833333,0,7.65E-06,2.23E-05,2.687095609,CK_V,HI_V,100 - 13.6 - 2.34,2199328.054,19.29,1777006.688,2218113.413,2037971.83,1918674.892,2262293.873,2981907.625,874123.1066,1148274.972,1308296.155,1068409.83,749532.1084,580740.5497,1460796.856,2267421.634,1140291.396,1445284.832,2295758.751,2470634.585,778298.6098,916220.8638,705435.7558,611257.6305,652541.7393,467357.606,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
8.74_772.2393n,772.2393399,795.2284729,1,8.738783333,0.394016667,0,8.47E-08,4.66E-07,5.16093336,CK_V,HI_V,100 - 35.2 - 7.93 - 0.734,3902229.89,22.15,3749665.895,3191858.325,4695608.253,4447856.05,2622962.286,4705428.532,578718.0355,703572.9835,919807.858,713214.0664,616899.031,468759.7776,3082430.8,3262812.703,2627299.167,3350447.181,2661762.334,3898643.396,515276.8976,561388.3979,495962.1328,408043.3633,537071.5439,377239.7976,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
7.99_366.1517n,366.1516586,389.1406508,1,7.9916,1.1069,0,4.60E-09,3.69E-08,15.76768534,CK_V,HI_V,100 - 17.8 - 2.46,8771783.309,25.29,6783617.792,8259524.943,10744039.57,5703510.634,11122682.92,10017324,453754.4506,718019.3934,792547.0546,739122.1328,346753.4958,312982.9606,5576505.482,8443132.545,6011533.478,4296297.118,11287214.69,8299769.891,404012.2672,572915.3426,427342.8674,422865.8619,301883.1705,251876.6208,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
7.63_514.1303n,514.1303285,537.11963,1,7.630383333,0.3595,0,3.52E-11,4.31E-10,8.301378826,CK_V,HI_V,100 - 23 - 1.48,1818403.805,15.61,1733730.542,1989723.086,2302850.243,1581872.464,1551375.605,1750870.888,195199.349,222799.0906,201126.0948,276677.242,263757.6202,167187.6638,1425221.492,2033954.235,1288496.868,1191580.861,1574324.256,1450669.408,173800.8992,177773.7739,108447.5699,158292.3244,229627.0624,134546.1865,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
11.07_727.3883n,727.3882768,728.3955532,1,11.07378333,0.493783333,0,7.75E-08,4.32E-07,4.17307226,CK_V,HI_V,100 - 41.6 - 10 - 1.72 - 0.194,84736541.69,23.95,66964214.65,104552549.2,63992170.57,63902016.77,135563357.1,73444941.82,16951421.51,17709958.84,17262763.39,20791698.53,24371257.72,13695974.56,55048253.24,106876731.6,35805068.77,48135625.25,137568671.8,60852191.34,15093146.14,14130965.31,9308114.595,11895327.08,21217587.24,11021992.33,x,x,x,x,,,"M+H, M+Na, 2M+H",,,,,,,
12.73_344.1147n,344.114742,345.1220184,1,12.73416667,0.28425,1,2.28E-11,2.87E-10,23.81964505,HI_V,CK_V,100 - 9.93,2140868.493,18.39,114294.5489,53523.98179,92282.67621,118817.4402,37332.2236,123018.75,2800070.657,1997017.856,1738758.402,1639100.927,2446323.741,2459623.089,93956.38112,54713.80929,51634.24742,89501.89783,37884.45879,101926.1549,2493116.911,1593441.876,937541.8118,937760.8864,2129766.465,1979409.84,x,x,x,x,,,"M+H, M+Na",,,,,,,
11.48_680.1930n,680.1929759,681.2002523,1,11.4781,0.259583333,0,0.000355308,0.000613139,101.6570252,HI_V,CK_V,100 - 29.5 - 9.61,687113.9906,39.47,0,9684.048742,0,9752.844559,10370.34291,10747.59938,693297.7409,661233.3692,459068.9229,614146.8216,998210.1955,463415.3098,0,9899.323226,0,7346.548584,10523.74573,8904.833442,617295.9665,527605.1674,247530.8296,351365.104,869040.5785,372938.776,x,x,x,x,,,"M+H, M+Na",,,,,,,
