,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
9.63_474.1442n,474.1442156,947.2803594,1,9.62905,0.545216667,0,0.000501881,0.001411926,3.244164819,CK_V,HI_V,100 - 42.8 - 16.7 - 1.28,525622.0855,23.87,565131.3117,650951.4208,288708.1716,501670.0005,581816.3232,565455.2854,68490.86958,102169.066,82826.2023,123182.3175,40882.83721,331490.612,374031.591,603310.5969,183794.8629,314583.1022,531828.0248,430678.5601,54874.1202,75542.00229,33498.09045,57039.1166,30206.65866,241640.3844,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.66_350.1936n,350.1936205,349.186344,1,6.655783333,0.607216667,10,2.23E-09,3.40E-08,8.039491456,HI_V,CK_V,100 - 12.7,163255.4026,21.87,15103.53014,28628.40723,11525.02647,17958.55486,32756.85983,15867.71809,214875.0486,187365.0991,121923.6684,136385.0216,197485.4334,160416.2507,9996.25625,26533.19572,7336.961225,11261.30304,29942.46701,12085.63463,172155.4905,138534.444,49310.60412,63152.57992,145913.921,116935.5725,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.86_720.1893n,720.1893412,719.1820647,1,9.859966667,0.606,0,3.26E-09,4.87E-08,101.0178263,CK_V,HI_V,100 - 35.3 - 8.57 - 1.48,1316484.231,40.19,2108355.416,1618689.499,585703.0816,994443.8149,1441633.24,1150080.336,10111.57801,74785.56378,7182.375737,6459.000031,3645.305429,3129.020569,1395412.914,1500223.361,372865.1565,623587.6572,1317771.482,875957.7563,8101.283432,55295.12458,2904.828006,2990.81608,2693.367298,2280.902401,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.95_563.1755n,563.1754797,1125.343006,1,9.946266667,0.26065,0,0.000244081,0.000764782,3.105701221,CK_V,HI_V,100 - 37.8 - 9.85 - 0.233,248060.9289,24.18,236100.2983,230690.9656,197784.482,328932.2595,182351.8335,312505.7345,54828.86254,56741.54296,69630.12016,58783.41579,32354.70942,78707.34109,156262.7453,213807.5127,125911.8215,206264.1388,166684.5902,238019.7396,43928.27266,41953.69438,28161.08911,27219.44331,23905.57335,57373.78817,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.31_690.1999n,690.199885,735.2139162,1,6.30695,0.527133333,0,4.62E-10,8.25E-09,59.80757734,HI_V,CK_V,100 - 35.8 - 11.2 - 2.36 - 0.445,1627485.371,22.56,21493.49814,33405.45556,26215.3727,24317.92068,21771.45463,36068.45642,2457265.238,1367605.346,766628.8251,2703491.259,1691459.359,1566462.564,14225.45016,30960.62885,16689.00054,15249.0819,19900.90215,27471.51061,1968733.48,1011183.231,310054.0773,1251841.63,1249750.237,1141874.316,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.54_440.2402n,440.240195,439.2329186,1,9.544433333,0.65835,61,5.68E-08,6.24E-07,9.210763998,CK_V,HI_V,100 - 21.7 - 0.122,483969.1873,14.78,516694.3685,460063.1565,363965.8927,552558.4878,461019.651,549513.5675,20840.49708,64010.28272,23108.33708,51741.59323,93130.05276,62196.923,341973.6488,426392.7671,231704.773,346493.8368,421409.9203,418536.5636,16697.17363,47328.07214,9345.897121,23958.75341,68809.99233,45338.50382,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
6.10_526.1445n,526.144519,525.1372425,1,6.099266667,0.294383333,0,1.10E-06,7.80E-06,6.274647983,CK_V,HI_V,100 - 26.8 - 22.5 - 3.73,282001.3635,19.05,333294.547,322090.2191,281971.9899,277062.7714,182057.8388,295530.8149,42147.26169,54605.38855,100626.2182,51639.70033,21814.76859,22033.78076,220590.6612,298517.5792,179506.5341,173738.2463,166415.8549,225090.8058,33767.91561,40374.25955,40697.09905,23911.57228,16118.04154,16061.54461,x,x,x,x,,,"M-H, 2M-H",,,,,,,
5.87_351.1163n,351.1163201,701.2286005,1,5.867416667,0.586283333,3,7.48E-10,1.27E-08,6.836742925,HI_V,CK_V,100 - 50.1 - 4.05,219491.0535,8.19,33314.48579,29215.94644,33092.27744,29006.75948,35875.77789,32122.49037,186166.0607,228998.63,261742.716,174419.4919,106961.0639,347720.7663,22049.15896,27077.73502,21066.91529,18189.32042,32793.41492,24466.06877,149154.1698,169317.5412,105858.7854,80764.30074,79029.16154,253471.3702,x,x,x,x,,,"M+FA-H, 2M-H",,,,,,,
10.81_763.3658n,763.3657803,762.3585039,1,10.81251667,0.402233333,0,2.46E-08,3.06E-07,5.307103612,CK_V,HI_V,100 - 40.8 - 34.7 - 12.5 - 2.59 - 0.0784,5774970.565,25.41,4964894.706,6638176.228,5023987.549,4856557.429,8407260.65,4758946.826,781060.1464,1075147.763,632159.3473,892063.7573,1669472.386,834904.2601,3286010.574,6152351.673,3198326.871,3045410.131,7684928.469,3624647.995,625776.671,794945.2609,255669.467,413066.8241,1233504.961,608604.2229,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
5.66_368.0738n,368.0738012,367.0665248,1,5.661883333,1.902,1,2.34E-05,9.98E-05,2.476741476,HI_V,CK_V,100 - 16.5 - 0.0116,1340475.177,20.23,485099.4992,717776.2757,464756.773,484717.3919,456742.732,638259.1987,1672131.275,1532359.07,1525043.629,1297069.035,1211130.858,1773727.168,321062.6163,665244.7779,295869.3788,303952.5997,417500.4642,486129.6017,1339692.913,1132999.223,616786.0894,600603.0205,894855.1258,1292960.039,x,x,x,x,,,"M-H, 2M-H",,,,,,,
